बहुरूप,बहु,रूप,
चलचित्त,,चलचित्त,
मैने,,मैने,
अवैधीकरण,,अवैधीकरण,
पहिन,,पहिन,
खुराक़,,खुराक़,
लीडम,,लीडम,
परात,,परात,
पद्मश्री,,पद्मश्री,
चिकित्सालय,,चिकित्सालय,
शल्यक्रिया,,शल्यक्रिया,
सहनशीलतापूर्वक,,सहनशीलता,पूर्वक
नागौर,,नागौर,
जलवृष्टि,,जलवृष्टि,
अग्निबाणों,,अग्निबाण,ों
अंगूर,,अंगूर,
जाचक,,जाचक,
चांदनी,,चांद,नी
फुंक्कारने,,फुंक्कारने,
बतूएल,,बतूएल,
शिलिंग,,शिलिंग,
पापरहित,,पाप,रहित
भेजा,,भेज,ा
वाचक,,वाचक,
कहती,,कहती,
सहबास,सह,बास,
होवेगी,,होवेगी,
ओरेब,,ओरेब,
मैले,,मैल,े
बर्फ़ीला,,बर्फ़,ीला
नीचों,,नीच,ों
बेकली,,बेकली,
बालचर,,बाल,चर
अतिसंयुग्मन,अति,संयुग्मन,
दोस्त,,दोस्त,
अप्रतिस्थाप्य,अ,प्रतिस्थाप्य,
दौड़ा,,दौड़,ा
बाला,,बाल,ा
जड़ता,,जड़,ता
पैक,,पैक,
ओजनी,,ओजनी,
तत्त्व,,तत्त्व,
मुशीबत,,मुशीबत,
उद्यान,,उद्यान,
ज़ुल्फ़,,ज़ुल्फ़,
ऐंटोनियो,,ऐंटोनियो,
बेचनेवाला,,बेचने,वाला
शंबुक,,शंबुक,
घोंसला,,घोंसला,
सिक्षा,,सिक्षा,
अनुभवि,,अनुभव,ि
लगाते,,लगाते,
अठारहवां,,अठारह,वां
बालमन,,बालमन,
रैली,,रैल,ी
गोल्डन,,गोल्डन,
चिड़ीमार,,चिड़ी,मार
शर्करीय,,शर्करीय,
छन,,छन,
परिवर्धित,परि,वर्धित,
गिड़गिड़ाने,,गिड़गिड़ा,ने
सूचना,,सूचना,
स्त्रियो,,स्त्री,ियो
बस्‍ता,,बस्‍ता,
टैज़मन,,टैज़मन,
