बहुरूप,"( 0 - ब ), ( 1 - ह ), ( 2 - ु ), ( 3 - र ), ( 4 - ू ), ( 5 - प )",3,6,
चलचित्त,"( 0 - च ), ( 1 - ल ), ( 2 - च ), ( 3 - ि ), ( 4 - त ), ( 5 - ् ), ( 6 - त )",0,7,
मैने,"( 0 - म ), ( 1 - ै ), ( 2 - न ), ( 3 - े )",0,4,
अवैधीकरण,"( 0 - अ ), ( 1 - व ), ( 2 - ै ), ( 3 - ध ), ( 4 - ी ), ( 5 - क ), ( 6 - र ), ( 7 - ण )",0,8,
पहिन,"( 0 - प ), ( 1 - ह ), ( 2 - ि ), ( 3 - न )",0,4,
खुराक़,"( 0 - ख ), ( 1 - ु ), ( 2 - र ), ( 3 - ा ), ( 4 - क़ )",0,5,
लीडम,"( 0 - ल ), ( 1 - ी ), ( 2 - ड ), ( 3 - म )",0,4,
परात,"( 0 - प ), ( 1 - र ), ( 2 - ा ), ( 3 - त )",0,4,
पद्मश्री,"( 0 - प ), ( 1 - द ), ( 2 - ् ), ( 3 - म ), ( 4 - श ), ( 5 - ् ), ( 6 - र ), ( 7 - ी )",0,8,
चिकित्सालय,"( 0 - च ), ( 1 - ि ), ( 2 - क ), ( 3 - ि ), ( 4 - त ), ( 5 - ् ), ( 6 - स ), ( 7 - ा ), ( 8 - ल ), ( 9 - य )",0,10,
शल्यक्रिया,"( 0 - श ), ( 1 - ल ), ( 2 - ् ), ( 3 - य ), ( 4 - क ), ( 5 - ् ), ( 6 - र ), ( 7 - ि ), ( 8 - य ), ( 9 - ा )",0,10,
सहनशीलतापूर्वक,"( 0 - स ), ( 1 - ह ), ( 2 - न ), ( 3 - श ), ( 4 - ी ), ( 5 - ल ), ( 6 - त ), ( 7 - ा ), ( 8 - प ), ( 9 - ू ), ( 10 - र ), ( 11 - ् ), ( 12 - व ), ( 13 - क )",0,8,
नागौर,"( 0 - न ), ( 1 - ा ), ( 2 - ग ), ( 3 - ौ ), ( 4 - र )",0,5,
जलवृष्टि,"( 0 - ज ), ( 1 - ल ), ( 2 - व ), ( 3 - ृ ), ( 4 - ष ), ( 5 - ् ), ( 6 - ट ), ( 7 - ि )",0,8,
अग्निबाणों,"( 0 - अ ), ( 1 - ग ), ( 2 - ् ), ( 3 - न ), ( 4 - ि ), ( 5 - ब ), ( 6 - ा ), ( 7 - ण ), ( 8 - ो ), ( 9 - ं )",0,8,
अंगूर,"( 0 - अ ), ( 1 - ं ), ( 2 - ग ), ( 3 - ू ), ( 4 - र )",0,5,
जाचक,"( 0 - ज ), ( 1 - ा ), ( 2 - च ), ( 3 - क )",0,4,
चांदनी,"( 0 - च ), ( 1 - ा ), ( 2 - ं ), ( 3 - द ), ( 4 - न ), ( 5 - ी )",0,4,
फुंक्कारने,"( 0 - फ ), ( 1 - ु ), ( 2 - ं ), ( 3 - क ), ( 4 - ् ), ( 5 - क ), ( 6 - ा ), ( 7 - र ), ( 8 - न ), ( 9 - े )",0,10,
बतूएल,"( 0 - ब ), ( 1 - त ), ( 2 - ू ), ( 3 - ए ), ( 4 - ल )",0,5,
शिलिंग,"( 0 - श ), ( 1 - ि ), ( 2 - ल ), ( 3 - ि ), ( 4 - ं ), ( 5 - ग )",0,6,
पापरहित,"( 0 - प ), ( 1 - ा ), ( 2 - प ), ( 3 - र ), ( 4 - ह ), ( 5 - ि ), ( 6 - त )",0,3,
भेजा,"( 0 - भ ), ( 1 - े ), ( 2 - ज ), ( 3 - ा )",0,3,
वाचक,"( 0 - व ), ( 1 - ा ), ( 2 - च ), ( 3 - क )",0,4,
कहती,"( 0 - क ), ( 1 - ह ), ( 2 - त ), ( 3 - ी )",0,4,
सहबास,"( 0 - स ), ( 1 - ह ), ( 2 - ब ), ( 3 - ा ), ( 4 - स )",2,5,
होवेगी,"( 0 - ह ), ( 1 - ो ), ( 2 - व ), ( 3 - े ), ( 4 - ग ), ( 5 - ी )",0,6,
ओरेब,"( 0 - ओ ), ( 1 - र ), ( 2 - े ), ( 3 - ब )",0,4,
अव्यूत्पन्न,"( 0 - अ ), ( 1 - व ), ( 2 - ् ), ( 3 - य ), ( 4 - ू ), ( 5 - त ), ( 6 - ् ), ( 7 - प ), ( 8 - न ), ( 9 - ् ), ( 10 - न )",-1,-1,
मैले,"( 0 - म ), ( 1 - ै ), ( 2 - ल ), ( 3 - े )",0,3,
पुनरावलोकन,"( 0 - प ), ( 1 - ु ), ( 2 - न ), ( 3 - र ), ( 4 - ा ), ( 5 - व ), ( 6 - ल ), ( 7 - ो ), ( 8 - क ), ( 9 - न )",-1,-1,
बर्फ़ीला,"( 0 - ब ), ( 1 - र ), ( 2 - ् ), ( 3 - फ ), ( 4 - ़ ), ( 5 - ी ), ( 6 - ल ), ( 7 - ा )",0,5,
नीचों,"( 0 - न ), ( 1 - ी ), ( 2 - च ), ( 3 - ो ), ( 4 - ं )",0,3,
बेकली,"( 0 - ब ), ( 1 - े ), ( 2 - क ), ( 3 - ल ), ( 4 - ी )",0,5,
बालचर,"( 0 - ब ), ( 1 - ा ), ( 2 - ल ), ( 3 - च ), ( 4 - र )",0,3,
अतिसंयुग्मन,"( 0 - अ ), ( 1 - त ), ( 2 - ि ), ( 3 - स ), ( 4 - ं ), ( 5 - य ), ( 6 - ु ), ( 7 - ग ), ( 8 - ् ), ( 9 - म ), ( 10 - न )",3,11,
दोस्त,"( 0 - द ), ( 1 - ो ), ( 2 - स ), ( 3 - ् ), ( 4 - त )",0,5,
अप्रतिस्थाप्य,"( 0 - अ ), ( 1 - प ), ( 2 - ् ), ( 3 - र ), ( 4 - त ), ( 5 - ि ), ( 6 - स ), ( 7 - ् ), ( 8 - थ ), ( 9 - ा ), ( 10 - प ), ( 11 - ् ), ( 12 - य )",1,13,
दौड़ा,"( 0 - द ), ( 1 - ौ ), ( 2 - ड ), ( 3 - ़ ), ( 4 - ा )",0,4,
बाला,"( 0 - ब ), ( 1 - ा ), ( 2 - ल ), ( 3 - ा )",0,3,
जड़ता,"( 0 - ज ), ( 1 - ड़ ), ( 2 - त ), ( 3 - ा )",0,2,
पैक,"( 0 - प ), ( 1 - ै ), ( 2 - क )",0,3,
ओजनी,"( 0 - ओ ), ( 1 - ज ), ( 2 - न ), ( 3 - ी )",0,4,
तत्त्व,"( 0 - त ), ( 1 - त ), ( 2 - ् ), ( 3 - त ), ( 4 - ् ), ( 5 - व )",0,6,
मुशीबत,"( 0 - म ), ( 1 - ु ), ( 2 - श ), ( 3 - ी ), ( 4 - ब ), ( 5 - त )",0,6,
उद्यान,"( 0 - उ ), ( 1 - द ), ( 2 - ् ), ( 3 - य ), ( 4 - ा ), ( 5 - न )",0,6,
ज़ुल्फ़,"( 0 - ज ), ( 1 - ़ ), ( 2 - ु ), ( 3 - ल ), ( 4 - ् ), ( 5 - फ ), ( 6 - ़ )",0,7,
ऐंटोनियो,"( 0 - ऐ ), ( 1 - ं ), ( 2 - ट ), ( 3 - ो ), ( 4 - न ), ( 5 - ि ), ( 6 - य ), ( 7 - ो )",0,8,
बेचनेवाला,"( 0 - ब ), ( 1 - े ), ( 2 - च ), ( 3 - न ), ( 4 - े ), ( 5 - व ), ( 6 - ा ), ( 7 - ल ), ( 8 - ा )",0,5,
नत्थियाँ,"( 0 - न ), ( 1 - त ), ( 2 - ् ), ( 3 - थ ), ( 4 - ि ), ( 5 - य ), ( 6 - ा ), ( 7 - ँ )",-1,-1,
शंबुक,"( 0 - श ), ( 1 - ं ), ( 2 - ब ), ( 3 - ु ), ( 4 - क )",0,5,
घोंसला,"( 0 - घ ), ( 1 - ो ), ( 2 - ं ), ( 3 - स ), ( 4 - ल ), ( 5 - ा )",0,6,
सिक्षा,"( 0 - स ), ( 1 - ि ), ( 2 - क ), ( 3 - ् ), ( 4 - ष ), ( 5 - ा )",0,6,
अनुभवि,"( 0 - अ ), ( 1 - न ), ( 2 - ु ), ( 3 - भ ), ( 4 - व ), ( 5 - ि )",0,5,
लगाते,"( 0 - ल ), ( 1 - ग ), ( 2 - ा ), ( 3 - त ), ( 4 - े )",0,5,
अठारहवां,"( 0 - अ ), ( 1 - ठ ), ( 2 - ा ), ( 3 - र ), ( 4 - ह ), ( 5 - व ), ( 6 - ा ), ( 7 - ं )",0,5,
हौरान,"( 0 - ह ), ( 1 - ौ ), ( 2 - र ), ( 3 - ा ), ( 4 - न )",-1,-1,
बालमन,"( 0 - ब ), ( 1 - ा ), ( 2 - ल ), ( 3 - म ), ( 4 - न )",0,5,
रैली,"( 0 - र ), ( 1 - ै ), ( 2 - ल ), ( 3 - ी )",0,3,
गोल्डन,"( 0 - ग ), ( 1 - ो ), ( 2 - ल ), ( 3 - ् ), ( 4 - ड ), ( 5 - न )",0,6,
विमानोत्तोलित,"( 0 - व ), ( 1 - ि ), ( 2 - म ), ( 3 - ा ), ( 4 - न ), ( 5 - ो ), ( 6 - त ), ( 7 - ् ), ( 8 - त ), ( 9 - ो ), ( 10 - ल ), ( 11 - ि ), ( 12 - त )",-1,-1,
चिड़ीमार,"( 0 - च ), ( 1 - ि ), ( 2 - ड ), ( 3 - ़ ), ( 4 - ी ), ( 5 - म ), ( 6 - ा ), ( 7 - र )",0,5,
शर्करीय,"( 0 - श ), ( 1 - र ), ( 2 - ् ), ( 3 - क ), ( 4 - र ), ( 5 - ी ), ( 6 - य )",0,7,
छन,"( 0 - छ ), ( 1 - न )",0,2,
