दागी,दागी
सुप्रीम,सुप्रीम
पुस्तक,पुस्तक
392,392
अथॉरटी,अथॉरटी
उकलाना,उकलाना
महाधिवक्ता,महाधिवक्ता
भावनात्मक,भावनात्मक
घात,घात
युवतियाँ,युवती
सुमाथिपाला,सुमाथिपाला
गाइडों,गाइड
फेडरल,फेडरल
बंगले,बंगला
रांची,रांची
उपाय,उपाय
समझाने,समझा
एंटर,एंटर
गोभी,गोभी
छोटा,छोटा
स्वास्थ्य,स्वास्थ्य
कपिल,कपिल
करुणाकरन,करुणाकरन
मोहल्ले,मोहल्ला
ढींढसा,ढींढसा
कलपुर्जो,कलपुर्जा
राजाओं,राजा
आदेशों,आदेश
बतौर,बतौर
इत्तेहादुल,इत्तेहादुल
इक्विटी,इक्विटी
टूर,टूर
वृहत्तर,वृहत्तर
गुटीय,गुटीय
हिन्दी,हिन्दी
न्यूट्रीशन,न्यूट्रीशन
सफलतापूर्ण,सफलतापूर्ण
संबंधी,संबंधी
इमामबाड़ा,इमामबाड़ा
पहले,पहले
वोटिंग,वोटिंग
अपलिंकिंग,अपलिंकिंग
औपचारिक,औपचारिक
दबोचा,दबोच
बही,बही
अनारा,अनारा
मान्यताओं,मान्यता
बीमित,बीमित
पैकेट,पैकेट
रामप्रकाश,रामप्रकाश
सरोज,सरोज
बनाया,बना
न्यायोचित,न्यायोचित
चपरासी,चपरासी
चलाएंगे,चला
सुने,सुन
गहरी,गहरा
खानों,खाना
लाइंस,लाइन
अलबत्ता,अलबत्ता
पुरस्कारों,पुरस्कार
कार्यालयों,कार्यालय
खंडेलवाल,खंडेलवाल
फिज़ूल,फिज़ूल
खतामी,खतामी
दरार,दरार
कंकणा,कंकणा
मामलों,मामला
१९८०,१९८०
नामी,नामी
सराबोर,सराबोर
2010,2010
व्यावसायी,व्यावसायी
दुमंजिला,दुमंजिला
आलोच्य,आलोच्य
अप्लाइंसेज़,अप्लाइंस
फ़र्जी,फर्जी
एयरवेज,एयरवे
जमाली,जमाली
थर्मल,थमर्ल
तस्वीरों,तसवीर
टेक.,टेक.
गोरखाओं,गोरखा
कोबरा,कोबरा
अलंकृत,अलंकृत
मशीनों,मशीन
आयुक्त,आयुक्त
मगरमच्छों,मगरमच्छ
खगड़िया,खगड़िया
पहाड़ियां,पहाड़ी
सिंगे,सिंगे
भांपते,भांप
फर्नॉडिस,फर्नाडिस
साल,साल
जुमला,जुमला
ज्यूरी,ज्यूरी
अक़बर,अकबर
रहीँ,रह
देड्डी,देड्डी
अधिकतर,अधिकतर
भोज्य,भोज्य
नीलामी,नीलामी
प्रोपल्शन,प्रोपल्सन
स्पेशल,स्पेशल
मुहम्मद,मुहम्मद
औली,औली
विधानमंडलों,विधानमंडल
पशुओं,पशु
लेकर,ले
ट्रस्टों,ट्रस्ट
५.३०,५.३०
साड़ी,साड़ी
लैंगिक,लैंगिक
बेलौस,बेलौस
अनिश्चितकालीन,अनिश्चितकालीन
एनएससी,एनएससी
इन्वेंशन,इन्वेंशन
लौटें,लौट
श्रमिकों,श्रमिक
पंडरावडा,पंडरावडा
5.6,5.6
भौर,भौर
गद्दार,गद्दार
फार्मासिस्ट,फार्मासिस्ट
वयस्कों,वयस्क
किस्मत,किस्मत
जाल,जाल
जुलूसों,जुलूस
वर्द्धराजन,वर्द्धराजन
शाहजेहन,शाहजेहन
एमएस,एमएस
