गीध,"( 0 - ग ), ( 1 - ी ), ( 2 - ध )",0,3
शीतागार,"( 0 - श ), ( 1 - ी ), ( 2 - त ), ( 3 - ा ), ( 4 - ग ), ( 5 - ा ), ( 6 - र )",0,7
निकासी,"( 0 - न ), ( 1 - ि ), ( 2 - क ), ( 3 - ा ), ( 4 - स ), ( 5 - ी )",0,6
कव्हर,"( 0 - क ), ( 1 - व ), ( 2 - ् ), ( 3 - ह ), ( 4 - र )",0,5
हिमतापी,"( 0 - ह ), ( 1 - ि ), ( 2 - म ), ( 3 - त ), ( 4 - ा ), ( 5 - प ), ( 6 - ी )",0,7
राइड,"( 0 - र ), ( 1 - ा ), ( 2 - इ ), ( 3 - ड )",0,4
पकड़ेना,"( 0 - प ), ( 1 - क ), ( 2 - ड ), ( 3 - ़ ), ( 4 - े ), ( 5 - न ), ( 6 - ा )",0,7
उनयातना,"( 0 - उ ), ( 1 - न ), ( 2 - य ), ( 3 - ा ), ( 4 - त ), ( 5 - न ), ( 6 - ा )",0,7
आवर्धक,"( 0 - आ ), ( 1 - व ), ( 2 - र ), ( 3 - ् ), ( 4 - ध ), ( 5 - क )",0,6
निन्दात्मक,"( 0 - न ), ( 1 - ि ), ( 2 - न ), ( 3 - ् ), ( 4 - द ), ( 5 - ा ), ( 6 - त ), ( 7 - ् ), ( 8 - म ), ( 9 - क )",0,10
टाँगवाला,"( 0 - ट ), ( 1 - ा ), ( 2 - ँ ), ( 3 - ग ), ( 4 - व ), ( 5 - ा ), ( 6 - ल ), ( 7 - ा )",0,8
निष्कासित,"( 0 - न ), ( 1 - ि ), ( 2 - ष ), ( 3 - ् ), ( 4 - क ), ( 5 - ा ), ( 6 - स ), ( 7 - ि ), ( 8 - त )",0,9
काटा,"( 0 - क ), ( 1 - ा ), ( 2 - ट ), ( 3 - ा )",0,4
पूर्वभाग,"( 0 - प ), ( 1 - ू ), ( 2 - र ), ( 3 - ् ), ( 4 - व ), ( 5 - भ ), ( 6 - ा ), ( 7 - ग )",0,8
मोची,"( 0 - म ), ( 1 - ो ), ( 2 - च ), ( 3 - ी )",0,4
हिलाकर,"( 0 - ह ), ( 1 - ि ), ( 2 - ल ), ( 3 - ा ), ( 4 - क ), ( 5 - र )",0,6
परकीयकरण,"( 0 - प ), ( 1 - र ), ( 2 - क ), ( 3 - ी ), ( 4 - य ), ( 5 - क ), ( 6 - र ), ( 7 - ण )",0,8
एबयासाप,"( 0 - ए ), ( 1 - ब ), ( 2 - य ), ( 3 - ा ), ( 4 - स ), ( 5 - ा ), ( 6 - प )",0,7
विवह,"( 0 - व ), ( 1 - ि ), ( 2 - व ), ( 3 - ह )",0,4
नियंट्रण,"( 0 - न ), ( 1 - ि ), ( 2 - य ), ( 3 - ं ), ( 4 - ट ), ( 5 - ् ), ( 6 - र ), ( 7 - ण )",0,8
बाँटी,"( 0 - ब ), ( 1 - ा ), ( 2 - ँ ), ( 3 - ट ), ( 4 - ी )",0,5
पगडण्डी,"( 0 - प ), ( 1 - ग ), ( 2 - ड ), ( 3 - ण ), ( 4 - ् ), ( 5 - ड ), ( 6 - ी )",0,7
मसूर,"( 0 - म ), ( 1 - स ), ( 2 - ू ), ( 3 - र )",0,4
चिंतिततः,"( 0 - च ), ( 1 - ि ), ( 2 - ं ), ( 3 - त ), ( 4 - ि ), ( 5 - त ), ( 6 - त ), ( 7 - ः )",0,8
पवनचक्की,"( 0 - प ), ( 1 - व ), ( 2 - न ), ( 3 - च ), ( 4 - क ), ( 5 - ् ), ( 6 - क ), ( 7 - ी )",0,8
टाम्ॅगना,"( 0 - ट ), ( 1 - ा ), ( 2 - म ), ( 3 - ् ), ( 4 - ॅ ), ( 5 - ग ), ( 6 - न ), ( 7 - ा )",0,8
दिलीप,"( 0 - द ), ( 1 - ि ), ( 2 - ल ), ( 3 - ी ), ( 4 - प )",0,5
वर्णन,"( 0 - व ), ( 1 - र ), ( 2 - ् ), ( 3 - ण ), ( 4 - न )",0,5
कमोवेश,"( 0 - क ), ( 1 - म ), ( 2 - ो ), ( 3 - व ), ( 4 - े ), ( 5 - श )",0,6
बदरीनाथ,"( 0 - ब ), ( 1 - द ), ( 2 - र ), ( 3 - ी ), ( 4 - न ), ( 5 - ा ), ( 6 - थ )",0,7
अधखुली,"( 0 - अ ), ( 1 - ध ), ( 2 - ख ), ( 3 - ु ), ( 4 - ल ), ( 5 - ी )",0,6
बिगाड़्ना,"( 0 - ब ), ( 1 - ि ), ( 2 - ग ), ( 3 - ा ), ( 4 - ड़ ), ( 5 - ् ), ( 6 - न ), ( 7 - ा )",0,8
सठ्यापा,"( 0 - स ), ( 1 - ठ ), ( 2 - ् ), ( 3 - य ), ( 4 - ा ), ( 5 - प ), ( 6 - ा )",0,7
जाँच्,"( 0 - ज ), ( 1 - ा ), ( 2 - ँ ), ( 3 - च ), ( 4 - ् )",0,5
दसियों,"( 0 - द ), ( 1 - स ), ( 2 - ि ), ( 3 - य ), ( 4 - ो ), ( 5 - ं )",0,6
कूप,"( 0 - क ), ( 1 - ू ), ( 2 - प )",0,3
जीवननाव,"( 0 - ज ), ( 1 - ी ), ( 2 - व ), ( 3 - न ), ( 4 - न ), ( 5 - ा ), ( 6 - व )",0,7
मेंंअनगिनत,"( 0 - म ), ( 1 - े ), ( 2 - ं ), ( 3 - ं ), ( 4 - अ ), ( 5 - न ), ( 6 - ग ), ( 7 - ि ), ( 8 - न ), ( 9 - त )",0,10
तिलमिलाना,"( 0 - त ), ( 1 - ि ), ( 2 - ल ), ( 3 - म ), ( 4 - ि ), ( 5 - ल ), ( 6 - ा ), ( 7 - न ), ( 8 - ा )",0,9
दानी,"( 0 - द ), ( 1 - ा ), ( 2 - न ), ( 3 - ी )",0,4
अौजार,"( 0 - अ ), ( 1 - ौ ), ( 2 - ज ), ( 3 - ा ), ( 4 - र )",0,5
प्रतिपक्ष,"( 0 - प ), ( 1 - ् ), ( 2 - र ), ( 3 - त ), ( 4 - ि ), ( 5 - प ), ( 6 - क ), ( 7 - ् ), ( 8 - ष )",0,9
बल्हानान,"( 0 - ब ), ( 1 - ल ), ( 2 - ् ), ( 3 - ह ), ( 4 - ा ), ( 5 - न ), ( 6 - ा ), ( 7 - न )",0,8
सम्भले,"( 0 - स ), ( 1 - म ), ( 2 - ् ), ( 3 - भ ), ( 4 - ल ), ( 5 - े )",0,6
अदृढ़,"( 0 - अ ), ( 1 - द ), ( 2 - ृ ), ( 3 - ढ़ )",0,4
डोरी,"( 0 - ड ), ( 1 - ो ), ( 2 - र ), ( 3 - ी )",0,4
श्ष्रे‍ठ,"( 0 - श ), ( 1 - ् ), ( 2 - ष ), ( 3 - ् ), ( 4 - र ), ( 5 - े ), ( 6 - ‍ ), ( 7 - ठ )",0,8
